명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
맛있는폴부엌,63005,,,제주특별자치도 제주시 녹차분재로 568,33.3208932762,126.2652190558,"맛있는 폴 부엌은 제주시 한경면 저지리, 환상숲 곶자왈공원 근처에 있는 프랑스식 레스토랑이다. 프랑스 요리학교 르 꼬르동 블루에서 요리를 전공한 셰프가 서울에서 경력을 쌓은 후 자신의 요리철학인 ''마음을 담은 요리''를 실현하기 위해 제주에 자리 잡았다. 풍요로운 제주의 식자재를 사용해 프랑스식 조리법으로 건강한 레시피를 선보인다. 옹기와 식물이 어우러진 내추럴한 인테리어에 중앙에는 단체 혹은 혼밥하기 좋은 큰 식탁이 있고 예약 우선제로 운영되고 있다. 뿔소라오일파스타, 폴셰프의 카프레제 샐러드, 돼지고기 스테이크, 치킨 버서 리소토 등이 있는 맛집으로 주변에 환상숲곶자왈공원과 생각하는정원, 제주유리의성 등이 있다.",0507-1408-1624,,,있음,0,,11:00 ~ 16:00,"일요일, 화요일, 매월 둘째, 넷째 토요일",뿔소라 오일파스타,"폴셰프의 카프레제 샐러드, 돼지고기 스테이크, 치킨버서 리소토 등",,,,,,":
",20170628446
리틀포레스트,63562,리틀포레스트 대표자 안*희,0507-1432-0903,제주특별자치도 서귀포시 월평로 15,33.2448352854,126.4592955715,"리틀포레스트는 세귀포시 월평마을회관 근처에 있다. 구옥을 개조한 곳에서 주로 빈티지 그릇과 식재료를 판매한다. 주인장의 감각이 돋보이는 개성있는 빈티지 소품이 많이 있으며 유리그릇, 범랑, 본차이나, 도시락 등 재미있는 그릇이 많다. 자세한 사진 촬영은 할 수 없고, 한쪽에는 카페 공간이 있어 커피를 마실 수 있다. .빈티지한 패브릭, 모티브 뜨개, 조명으로 꾸민  아기자기한 공간으로 여성 방문자 비율이 높다. 주변 여행지로 약천사, 자연치유정원, 월평포구 등이 있다.
※ 반려동물 동반 가능",0507-1432-0903,,,없음,0,,10:00 ~ 18:00,매주 월요일 정기휴무,,,,,,,,":
",20170631023
레몬일레븐,63626,,,제주특별자치도 서귀포시 토산중앙로49번길 41,33.3078639267,126.7761611403,"카페 레몬일레븐은 서귀포시 표선면 토산리 일주동로가 지나는 올레길 4코스 바닷가에 있다. 서귀포에서 자란 레몬으로 직접 담근 레몬수제청을 베이스로 다양한 레몬 음료를 제공하고 있으며, 과일과 레몬을 블렝딩한 메뉴를 선보이고 있다. 이와 함께 즐길 수 있는 브라운치즈크로플, 레몬딜버터크로플이 있고 다양한 커피도 있다. 아기자기하게 꾸민 실내외에서 사진찍기도 좋으며 반려견동반이 가능하고, 아이들과 함께 하기도 좋다. 
※ 반려동물 동반 가능",0507-1367-3428,,,있음,0,,10:00 ~ 18:00,매주 화요일 정기휴무,레몬에이드,"레몬히비스커스레이드, 레몬딜버터크로플, 레몬일레븐요거트, 브라운치즈크로플 등",,,,,,"화장실:남녀 구분
",20220903083
라임오렌지카페앤플라워,63599,,,제주특별자치도 서귀포시 칠십리로 330 라임오렌지레스토랑1층,33.2464510197,126.5871289007,"라임오렌지카페앤플라워는 서귀포시 칼호텔 근처에 있는 디저트 카페이다. 다양하고 예쁜 식물들과 소품으로 꾸민 조용한 카페로 잔디마당에는 작은 산책로가 있으며 섶섬이 보인다. 내부는 화이트톤과 아치형 파티션으로 동화속 공간을 연상시킨다. 수제라임청에 에스프레소를 부어 마시는 라임 커피, 착즙한 생오렌지에 에스프레소를 부어 마시는 오렌지커피, 하귤청에 에스프레소를 부어마시는 하귤커피가 시그니처 메뉴이고, 다양한 커피와 에이드가 있다. 라임오렌지빌이라는 펜션과 함께 운영하고 있으며 식물과 소품도 구매할 수 있다. 
※ 반려동물 동반 가능",0507-1345-2639,,,있음,0,,10:00 ~ 21:00,일요일 정기휴무,라임커피,"오렌지커피, 하귤커피, 레몬아메리카노, 아메리카노, 라떼 등",,,,,,"화장실:남녀 구분
",20210624590
버터행성 706,63522,,,제주특별자치도 서귀포시 서광동로25번길 11,33.2886478588,126.3301502444,"버터 행성 706은 서귀포시 안덕면 서광동리 복지회관 근처에 있는 반려견 동반 카페이다. 감귤 창고였던 공간을 개조하여 오픈하였으며 음료와 쿠키, 빈티지 의류를 판매한다. 반려견 동반 가능 카페로 '밤'이라는 대형견이 있으며 이에 대한 경고와 주의사항을 늘 공지하고 있다. 함께 판매하는 의류 중에는 제주 시골 마을 유기견들의 해외 입양을 돕기 위해 제작된 티셔츠가 있고, 북다마스인 독립 책방이 있으며 도서 구매 시 할인 혜택이 있다. 주변 여행지로 소인국테마파크, 신화역사공원 등이 있다.",인스타그램 DM,,,있음,0,,11:30 ~ 19:00 (18:30 라스트오더),"목, 금요일",아메리카노,"카페라떼, 말차라떼, 앨더플라워 라임에이드, 얼그레이퍼피 등",,,,,,"화장실:있음
",20210624213
카페 사분의 이,63002,,,제주특별자치도 제주시 두신로 92-71층,33.3510386796,126.1845809520,"카페 사분의 이는 제주시 한경면사무소 근처에 있는 카페이다. 제주 돌집을 개조한 카페로 넓은 마당이 있고, 수제 양갱과 티가 있다. '사분의 이'는 네 개의 공간 중 두 번째 공간이라는 뜻으로 제주시 노형동에 첫 번째 공간이 있다. 돗자리, 피크닉 카페이고 아이들과 반려견이 뛰어놀기 좋으며 플리마켓인 한경 풍차 마켓을 진행한다. 일회용 테이크아웃 잔을 사용하지 않는 푸른 컵 참여 업체로 사용하는 잔, 텀블러를 가져오면 할인 혜택을 준다. 주변 여행지로 신창풍차해얀도로 등이 있다. 
※반려동물 동반 가능",064-772-0250,,,없음,0,,매일 11:00 ~22:00,인스타그램 공지,수제그릭요거트,"아메리카노, 카페라떼, 티, 수제양갱, 아이스크림 카야토스트 등",,,,,,":
",20210621832
돌담너머바다,63074,,,제주특별자치도 제주시 테우해안로 44-1,33.4957461292,126.4398055121,"돌담너머바다는 내도 알작지 해변 앞에 있다. 현무암치킨프리또는 제주 현무암을 닮은 순살치킨으로 매콤한 토마토커리 소스와 함께 제공된다. 전복게우크림리조또도 인기 메뉴로 전복 내장으로 만든 크림리조또 위에 방긋 웃는 단호박이 토핑되어 나온다. 수제 한라봉 맥주와 수제청 에이드를 곁들일 수 있으며 식사를 즐기며 제주 바다를 조망할 수 있다. 주변 여행지로 이호테우해변, 도두봉, 무지개해안도로 등이 있다.
※ 소형견(케이지 필수)에 한하여 반려견 동반 가능",0507-1402-5527,,,해안도로 주차선,0,,"11:00~20:30(브레이크 타임 15:30~17:00, 라스트 오더 19:45), 화요일 11:00~15:30(라스트 오더 14:45)",수요일,현무암치킨프리또,"맥앤치즈감튀, 돔베스테이크, 매생이눈꽃치즈전복크림스파게티, 전복게우크림리조또 등",,,,,,":
",20200620207
오랑우탄면사무소,63528,,,제주특별자치도 서귀포시 산방로 367-11층,33.2311675843,126.2975710170,"오랑우탄면사무소는 사계리사무소 근처에 있다. 제주의 식재료를 이용해 탄탄면을 요리하는 단일메뉴 식당으로 매운 정도는 주문할 때 조절할 수 있다. 면, 온천 계란, 고수 등 취향에 따라 추가 주문을 할 수 있고, 곁들임 요리로 오이무침이 있다. 밥은 무료 제공이고 온천계란에는 카레가루가 뿌려나온다. 내부에는 가게 이름처럼 오랑우탄 장식과 소품이 많고, 굿즈로 티셔츠도 판매한다. 주변 여행지로 산방산, 사계 해안 등이 있다. 
※반려동물 동반 가능",0507-1494-8782,,,있음,0,,"11:00~20:00(브레이크 타임 15:00~17:30, 라스트 오더 14:30, 19:30), 화요일 11:00~15:00(라스트 오더 14:30)",수요일,오랑우탄탄면,"어린이탄탄면, 오이무침, 우롱차, 탄산수 등",,,,,,":
",20180624621
딜레탕트,63331,,,"제주특별자치도 제주시 신북로 1441층,2층",33.5351197779,126.6284354411,"딜레탕트는 제주시 조천리 대섬 입구 정류장 근처에 있는 브런치 카페이다. 프랑스 가정식 파이 키슈가 대표 메뉴로 제주 식재료를 사용하여 제주 딱새우 로제 키슈, 제주 흑돼지 치즈 키슈 등을 제공하며, 이와 어울리는 제주 청귤 모히또 등 에이드 류와 커피, 맥주, 차를 판매한다. 이 외에도 현무암 스콘, 화산송이 스콘, 한라봉 버터 스콘도 있다. 카페 분위기는 깔끔한 사진 스튜디오 작업실처럼 꾸며져 있고 테라스가 있어 사진 찍기에 좋다. 반려동물과 함께 입장할 수 있고 주변 여행지로 조천항, 연북정 등이 있다. 
※반려동물 동반 가능",0507-1381-0727,,,있음,0,,10:00 ~19:00,인터넷 공지,제주딱새우로제키슈,"제주흑돼지치즈키슈, 포테이토갈릭키슈, 페퍼로니토마토키슈, 파이, 커피, 에이드 등",,,,,,"화장실:남녀 구분
",20190620415
라 플라주,63333,,,제주특별자치도 제주시 조함해안로 525,33.5427390309,126.6690845131,"라플라주는 제주시 조천읍 함덕 해수욕장 앞에 있는 베이커리 카페다. 아침 일찍 영업을 시작해 밤늦게까지 운영하는 오션뷰 베이커리 카페로 근처에 숙소를 정한 여행자들이 분위기 있는 조식이나 석식을 할 수 있는 곳이다. 커피, 차, 라테, 에이드류와 함께 다양한 베이커리가 있으며 크로플도 제공한다. 시그니처 메뉴로 함덕 선셋은 아이스티이고, 라라딸기라떼, 스무디인 서우봉봄이 있다. 우도땅콩잼, 구좌당근잼 등 10여 종의 잼은 직접 맛을 보고 구매할 수 있으며, 함덕해수욕장이 바로 앞에 있어 뷰가 무엇보다 좋습니다. 주변 여행지로 서우봉, 서우봉둘레길, 함덕해수욕장 등이 있다.",064-782-9959,,,있음,0,,08:00 ~23:00,연중무휴,딸기브리오슈,"아메리카노, 카페라떼, 아포가토, 롱소시지빵, 현무암치즈, 샐러드빵 등",,,,,,"화장실:남녀 구분
",20140628374
마음에온,63277,,,제주특별자치도 제주시 칠성로길 29-1,33.5146093001,126.5259753695,"마음에온은 제주시 일도일동, 칠성로 로드숍 안에 있는 디저트 카페이다. 작은 정원이 있는 한옥카페로 한식 디저트와 음료를 제공한다. 호두 해바라기씨, 땅콩, 대추를 잘게 다져 조청에 버무려 곶감을 채운 호두정과, 치즈 곶감 말이, 약과 등이 있으며, 수제 레몬청을 사용한 칠성라테, 청보리 라테, 에스프레소가 미숫가루에 들어간 꼬수미라테 등 시그니처 음료와 꽃차가 있다. 동문시장과 가까워 쇼핑 전후 쉬어갈 수 있고 주변 여행지로 제주 원도심, 삼성혈, 제주성지 등이 있다. 
※반려동물 동반 가능",010-6605-0953,,,없음,0,,10:00 ~20:00,매주 금요일 정기 휴무,칠성라떼,"치즈곶감말이, 쫀득쫀득약과, 백향과차, 제주바당커피, 꼬수미라떼 등",,,,,,":
",20190621231
빵귿,63233,,,제주특별자치도 제주시 구남동6길 45-11층,33.4871291550,126.5351474189,"빵귿은 제주시 이도이동, 이도 초등학교 근처 주택가에 있는 빵집이다. 여행자들 사이에 제주의 대표 소금빵(시오빵) 맛집으로 소문난 곳으로 빵지 순례의 명소이기도 하다. 소금빵은 겉은 바삭하고, 속은 부드러우면서 버터의 풍미가 느껴져 담백하고 질리지 않는 맛이다. 소금 빵 외에도 바게트와 브리오슈, 치아바타, 식빵 등 다양한 식사 빵과 디저트 빵, 샌드위치류가 준비되어 있다. 오픈과 함께 늘 대기가 있는 편이고 늦은 시간에 방문하면 품절되는 경우가 있다. 주변 여행지로 민오름, 방성문계곡 등이 있다.",064-757-0392,,,있음,0,,11:00 ~19:00,"일, 월요일 정기 휴무",시오빵,"올리브식빵, 치아바타, 앙버터치아바타 등",,,,,,":
",20170627602
함덕카페 어반정글 그레이밤부,63339,,,제주특별자치도 제주시 일주동로 16111층,33.5529273580,126.7043117751,"함덕카페 어반 정글 그레이밤부는 제주시 조천읍 북촌포구 근처에 있다. 정글의 롯지처럼 카페 전체를 대나무로 꾸몄으며 라탄 조명과 의자 등 이국적인 분위기로 대나무 벽 안쪽에서 프라이빗 비치를 즐길 수 있다. 대표 메뉴로 흑돼지 반미와 흑돼지 타코가 있고, 정글, 어반, 그린 세 가지 종류로 아인슈페너가 준비되어 있다. 트로피컬 한 감성의 음료와 맥주를 곁들이며 일몰과 노을을 감상하기 좋다. 바다 앞 뷰를 선택한다면 그 어떤 곳보다 가깝고 멋진 곳으로 주변에 함덕 해수욕장, 창꼼 바위, 서우봉 등이 있다. 
※반려동물 동반 가능(중소형견 실내 가능, 대형견은 야외좌석 가능)",0507-1323-5911,,,있음,0,,11:00 ~19:00,연중무휴,흑돼지반비,"정글슈페너, 어반슈페너, 그린슈페너, 과일에이드, 생코코넛, 수박쥬스 등",,,,,,"화장실:남녀 구분
",20170628028
카페허그,63168,,,제주특별자치도 제주시 관덕로 16-1,33.5128510829,126.5210813907,"카페허그는 제주 관덕정 앞에 있다. 팥빙수 팥, 레몬청, 자몽 청을 직접 만들고, 다양한 음료가 준비되어 있다. 제주에서 늦게까지 하는 카페로 근처 숙박하는 여행자들이 부담 없이 찾기 좋고, 가격대도 관광지 가격 대비 저렴한 편이다. 시그니처로 생강청과 생강라떼가 있고, 1인용으로 판매하는 팥빙수는 달지 않고 팥알 모양이 그대로 살아 있는 옛날식 빙수이다. 주변 여행지로 제주목관아, 제주원도심, 산지천갤러리 등이 있다.",064-751-8733,,,없음,0,,10:30 ~ 22:00 (21:30 라스트오더),연중무휴,아메리카노,"샌드위치, 카푸치노, 토스트, 생강에이드, 대추차 등",,,,,,":
",20180620599
카페효주,63168,,,제주특별자치도 제주시 관덕로 8,33.5127705235,126.5202286890,"카페효주는 관덕정 근처 무근성길에 있다. 시그니처 메뉴인 비행기라떼는 카페라떼 위에 생크림을 올리고 초콜릿 파우더로 비행기를 그려 준다. 착즙 오렌지주스에는 오렌지 3개가 들어가고, 초록케일사과주스는 12브릭스 사과와 케일, 바나나로 만든다. 일찍 문을 여는 카페효주에는 샌드위치, 버터그릴에그마요토스트 등이 있어 아침으로 먹기 좋고, 맛집으로 유명한 우진해장국 옆에 있어 해장국 손님들이 커피를 마시기 좋다. 주변 여행지로 제주목관아, 제주원도심 등이 있다.",064-900-6607,,,없음,0,,07:40 ~18:00,연중무휴,비행기크림라떼,"효주샌드위치, 생크림과 크로와상, 초록케일사과주스, 아메리카노 등",,,,,,":
",20180621755
코코메아,63003,,,제주특별자치도 제주시 판포중길 31,33.3598129885,126.2024180946,"코코메아는 판포포구 근처에 있다. 코코메아는 뉴질랜드 마오리어로 일몰을 뜻한다. 마당이 있는 구옥을 개조하였고, 앤틱소품으로 소박한 공간을 꾸몄다. 대표메뉴는 뉴질랜드식 소시지롤과 미트파이다. 코코메아파이 3종 세트는 민스(다진 소고기), 치킨, 소시지롤을 하나씩 맛볼 수 있다. 예스키즈존이고, 반려동물 동반이 가능하지만, 매장 내부의 빈티지 소품에 주의해야 한다. 봄에는 마당에 벚꽃이 핀다. 주변 여행지로 판포포구, 신창풍차해안도로 등이 있다. 
※반려동물 동반 가능",0507-1361-0160,,,있음,0,,12:00 ~18:00 (17:30 라스트오더),수요일,뉴질랜드식 미트파이,"뉴질랜드식 소세지롤, 코코메아말차, 코코메아에이드, 아메리카노, 누텔라크루와상 등",,,,,,":
",20190622331
태양상회,63166,,,제주특별자치도 제주시 중앙로2길 31,33.5172256072,126.5216229112,"태양상회는 제주 탑동해변공연장 근처에 있다. 식물과 호랑이 그림, TV 브라운관, 자개상, 옛날 창틀 등 빈티지한 소품으로 꾸미고 좌식, 입식 다양한 테이블이 있는 레트로한 감성 주점이다. 퓨전 한식을 맛볼 수 있으며 아롱사태수육, 불고기파스타, 해물파전, 카레홍합탕, 크림짬뽕 등이 있다. 인기 메뉴는 부추우전으로 깻잎, 부추, 우삼겹의 조합이 별미이다. 주변 여행지로 관덕정, 탑동해안로, 제주 원도심 등이 있다. 
※반려동물 동반 가능",070-4548-2267,,,없음,0,,18:00 ~01:00 (00:00 라스트오더),월요일,부추우전,"꼬막과양념장, 크림짬뽕, 아롱사태수육, 카레홍합탕, 불고기파스타 등",,,,,,":
",20020628452
풍림다방 송당점,63355,,,제주특별자치도 제주시 중산간동로 2267-4,33.4719042982,126.7857260108,"풍림다방은 송당초등학교 근처에 있다. 일찌감치 미식프로그램에 소개된 바 있는 커피전문점으로 융드립전문 카페이다. 주택을 개조하여 넓은 마당이 있고, 마당에는 평상이 있다. 주문하는 곳이 따로 마련되어 있고, 픽업은 중앙 바테이블에서 하면 된다. 시그니처는 풍림브레붸로 진한 라떼 위에 직접 만든 바닐라빈 크림이 올라간다. 풍림브레붸의 아이스 버전은 카페 타히티이고, 커피 이외 음료로 주스와 아이스티가 있다. 주변 여행지로 아부오름, 동검은이오름 등이 있다.  
※반려동물 동반 가능(케이지 사용)",1811-5775,,,있음,0,,10:30 ~ 18:00,연중무휴,풍림브레붸,"쇼콜라쇼, 아메리카노, 카페타히티, 풍림더치 등",,,,,,":
",20200620414
제이문커피,63546,,,제주특별자치도 서귀포시 천제연로 172-32층,33.2515950816,126.4232263266,"제이문커피는 중문관광단지 뒤편 중문향토오일시장 근처에 있다. 화이트톤의 깔끔한 인테리어에 달을 연상시키는 조명이 있고, 저녁이면 입구에 환한 보름달 조명이 뜬다. 시그니처 메뉴는 제이문커피_아인슈페너와 제이문우유_냉침밀크티가 있으며 수제 쿠키와 크로플, 버터바 등 디저트가 있다. 반려견 동반을 할 수 있으며 영업시간이 저녁 10시까지로 제주에서 드물게 늦게까지 운영하는 카페이다. 주변 여행지로 베릿내오름, 천제연폭포, 여미지식물원 등이 있다.
※ 반려동물 동반 가능",064-739-1723,,,없음,0,,11:00~22:00,일요일,제이문커피_아인슈페너,"제이문커피_여름, 제이문우유_냉침밀크티, 바닐라아이스크림크로플, 아메리카노, 제주바당라떼, 제주청귤에이드, 제주감귤진저라떼 등",,,,,,":
",20200624592
카페숑,63612,,,제주특별자치도 서귀포시 공천포로 91,33.2663802615,126.6427791869,"카페숑은 남원 공천포 바닷가에 있다. 제주의 한적한 남쪽바다를 조망하는 소박한 카페로 여행자들 사이에 인기 카페이다. 카페라떼와 초콜릿이 인기 메뉴이며 초콜릿의 경우 초코의 숫자로 4단계 초코의 강도를 조정한다. 숑플의 경우, 바나나, 호두, 메이플시럽, 생크림을 곁들인 추천 메뉴이고, 진피차, 루이보스티 등 다양한 음료가 준비되어 있다. 주변 여행지로 쇠소깍, 공천포구, 위미항 등이 있다.
 ※ 반려동물 동반 가능",070-4191-0586,,,해안가 주차선,0,,09:30 ~ 18:00,일요일,카페라떼,"초코초코초콜릿, 숑플, 감귤진피, 루이보스 등",,,,,,":
",20120631089
제주개 생활연구소,63005,,,제주특별자치도 제주시 녹차분재로 502,33.3169132416,126.2703881396,"제주개생활연구소는 오설록 티뮤지엄 근처에 있다. 귤밭 사이에 오렌지 컬러를 컨셉으로 내부 공간이 넉넉하며 반려견과 함께 할 수 있는 카페이다. 시그니처인 에그타르트와 함께 커피와 제철 과일 주스인 수박주스가 있고 반려견을 위한 음료, 간식, 소품 등을 판매한다. 웰시코기 마루와 제주 토종견 탕이가 있으며 외부 공간에는 반려견을 위한 공간이 마련되어 있다. 주변 여행지로 제주항공우주박물관, 제주곶자왈도립공원 등이 있다. 
※ 반려견 동반 가능(리드줄 필수)",0507-1480-5021,,,있음,0,,10:00~18:30 (18:00 라스트오더),월요일,불맛 돼지고기 샌드위치,"멍푸치노, 에그타르트",,,,,,":
",20210622195
제주셀로나,63361,,,제주특별자치도 제주시 구좌로 241층,33.5234358154,126.8541411139,"제주셀로나는 세화해수욕장과 일주동로 사이 구좌로에 있다. '제주 속 작은 바르셀로나'를 표방하는 스페인음식 식당으로 1인 오너셰프가 운영한다. 테이블 2개 있는 작은 식당으로 스페인풍의 소품과 메뉴판까지 직접 아기자기하게 꾸몄고, 빠에야, 타파스, 핀초 등의 스페인 음식과 음료, 스페인 맥주, 상그리아 등 주류도 판매한다. 좌석 예약은 받지 않으며 포장 예약만 가능하다. 주변 여행지로 세화해수욕장, 평대해변 등이 있다.",070-8064-3934,,,없음,0,,11:00~18:00 (17:30 라스트오더) / 금~일 12:00 ~20:30,월요일,해산물빠에야,"타파스, 바당_그리아, 피스토, 감바스알하이오, 핀초 등",,,,,,":
",
카페제주동네,63364,,,제주특별자치도 제주시 종달로5길 23,33.4933370855,126.8986212839,"카페제주동네는 종달초등학교 근처에 있다. 올레길에서 만나 결혼한 부부가 제주 구좌읍 종달리에서 운영하는 카페로 종달리 마을이 내려다 보이는 동네 안에 있다. 구옥을 개조하였고, 작은 마당과 옥상에도 테이블이 있다. 당근주스, 당근케이크 등 구좌당근으로 만든 메뉴를 제공하며 당근빙수는 시그니처 메뉴이자 인기 메뉴이다. 직접 볶은 원두, 더치 원액, 당근주스와 기념품 등을 판매한다. 주변 여행지로 지미봉, 종달항, 식산봉 등이 있다.",070-8900-6621,,,있음,0,,10:00~16:30 (16:00 라스트오더),일요일,당근주스,"당근빙수, 아메리카노, 당근케이크, 한라봉차, 드립커피, 제주유기농말차라떼 등",,,,,,":
",20140627023
금돈가 제주본점,63050,,,제주특별자치도 제주시 가문동남길 631층,33.4843271774,126.3911377809,"금돈가 제주 본점은 제주 애월 해안도로 가문동포구 근처에 있다. 제주 숙성 흑돼지를 특수 불판에 참나무 펠렛을 태워 구워먹는 참나무장작구이 흑돼지전문점이다. 직원의 숙련된 솜씨로 직접 구워주며, 참숯이나 연탄구이와 다른 담백함과 풍부한 육즙이 특징이다. 점심메뉴의 경우, 흑돼지에 김치찌개, 볼케이노 계란찜이 함께 나와 푸짐하고, 반려견 동반도 가능한 식당으로 점심 시간대에 손님이 많다. 주변 여행지로 내도 알작지 해변, 구엄리 돌염전 등이 있다.
※ 반려동물 동반 가능",0507-1396-6466,,,있음,0,,11:00 ~ 22:30 (21:30 라스트오더),연중무휴,흑돼지,"금돈가점심세트, 흑돼지김치찌개, 해물된장찌개 등",,,,,,":
",20160628172
항아리조림,63361,,,제주특별자치도 제주시 세화3길 321층,33.5261994352,126.8564102978,"항아리조림은 제주시 세화민속오일시장 근처에 있다. 갈치전문점으로 대표메뉴인 갈치조림의 경우 제주은갈치와 양구 시래기, 무, 감자에 비법양념을 넣어 항아리 조림으로 제공되며 볼케이노 계란찜, 고등어구이, 김치전, 제주 고사리와 파김치 등 반찬이 함께 나와 다양한 방법으로 갈치 조림을 즐길 수 있다. 식당 내부는 깔끔하고, 차림새가 푸짐한 만큼 테이블이 크고, 단체석도 마련되어 있다. 주변 여행지로 세화해수욕장, 평대해변 등이 있다.",064-782-5587,,,있음,0,,11:00 ~ 21:00 (15:00 ~17:00 브레이크타임 20:00 라스트오더),화요일,갈치조림,"묵은지고등어조림, 옥돔구이, 통갈치구이 등",,,,,,":
",20200620126
펜고호다,63039,,,제주특별자치도 제주시 봉성로 611층,33.4182610254,126.3124072249,"펜고호다'는 제주어로 '편안하다'는 의미를 가진 비건 디저트 카페다. 애월읍의 한적한 돌담집들 사이에 자리잡아 아늑하고 소담한 분위기를 가지고 있다. 펜고호다는 몸이 편안하고 지구가 편안한 디저트를 만들기 위해 순식물성 재료만을 사용하는 것이 특징이다. 우유, 버터, 계란, 흰 밀가루, 정제 설탕, GMO제품, 방부제, 식물성 휘핑크림 등을 사용하지 않으며 국산, 유기농 천연재료들을 골라 건강한 디저트를 만든다. 색과 모양이 아름다운 다양한 조각케이크는 펜고호다의 대표 메뉴이다. 이장님네 단호박, 아랫집의 초당옥수수 등 마을에서 나는 식재료를 사용해 더 특별하게 느껴진다. 지금은 '비건 치고 맛있다'가 아닌 '맛있는데 비건이기까지 한 디저트'로 여행자 사이에 입소문이 났다. 차림새도 예쁘고 인테리어도 사진 찍을 것이 많은 소담한 곳으로 주변 여행지로 새별오름 등이 있다. 제주의 건강함이 담긴 비건 디저트를 맛보며 편안한 시간을 누려보자.",0507-1334-0705,,,없음,0,,12:00~19:00,"일, 월요일",무화과 타르트,"단호박 파운드 케이크, 자몽 얼그레이 케이크, 메이플 카라멜 견과 타르트, 무화과 얼그레이 스콘, 비건 버터링 쿠키 외",,,,,,":
",20210620782
코코리파이프,63053,,,제주특별자치도 제주시 하귀6길 22,33.4886659540,126.4143662184,"코코리파이프는 하귀1리 마을 안쪽 하귀2길에 있다. 공장을 개조하여 꾸민 레스토랑으로 높은 천장과 식물 인테리어를 하였고 건강한 먹거리를 지향한다. 제주산 무항생제 닭을 사용한 요리와 100% 수제 소고기 패티의 함박스테이크, 제주산 전복과 해산물을 넣은 파스타 등 메뉴가 있고 이와 어울리는 음료, 주류를 판매한다. 주문 즉시 요리하기 때문에 15~20분의 대기시간을 감안하여야 하며, 주변 여행지로 월대천, 항포포구 등이 있다. 
※ 반려동물 동반 가능",064-748-6770,,,있음,0,,10:00 ~ 18:50 (17:50 라스트오더),화요일,저크치킨 매쉬 포테이토,"바질 씨푸드 파스타, 로제 치킨 파스타, 아보카도샐러드, 칠리빈 포테이토 등",,,,,,":
",20180620655
컴플리트커피,63088,,,제주특별자치도 제주시 노형6길 211층,33.4806484102,126.4781914056,"컴플리트커피는 제주 제일고등학교 후문 앞에 있다. 심플한 베이지 톤과 심플한 테이블이 잘 어울리는 어반한 분위기의 카페로 외부의 건물과 나무 사이 작은 골목에 놓은 테이블도 분위기를 더한다. 매장에서 직접 원두를 볶는 로스터리 카페로 커피를 비롯해 다양한 구움 과자와 에그타르트 등 디저트와 스티븐스 미스티, 토마토 바질 에이드, 진저블랑 등 음료가 준비되어 있다. 주변 여행지로 한라수목원, 민오름 등이 있다.",064-805-3150,,,있음,0,,09:00 ~19:00,연중무휴,샤케라토,"크림에소, 플랫화이트, 오름라떼, 피콜로비앙코, 돌체라떼 등",,,,,,":
",20220898537
카페보롬왓,63624,,,제주특별자치도 서귀포시 번영로 2350-104,33.4135241052,126.7525080052,"카페보롬왓은 보롬왓 농장 안에 있다. 계절마다 메밀꽃, 유채꽃, 수국, 라벤더 등을 볼 수 있는 넓은 꽃밭과 다양한 공기정화 식물이 있는 온실, 동물농장을 함께 둘러볼 수 있으며 농장을 달리는 깡통기차도 인기이다. 넓은 농장의 풍광을 감상할 수 있는 곳에 카페가 있고 음료와 함께 다양한 베이커리류가 있으며 당일 생산, 판매하며 조기 품절 될 수 있다. 주변 여행지로 성읍민속마을, 영주산 등이 있다.",064-742-8181,,,있음,0,,09:30 ~ 18:00,연중무휴,아메리카노,"카페라떼, 당근주스, 눈꽃자몽, 라벤더 레몬차, 베이커리류",,,,,,,20170631400
하례감귤점빵협동조합,63613,,,제주특별자치도 서귀포시 하례로 272,33.2713738458,126.6233640890,"하례감귤점빵협동조합은 하례리 효돈천가에 있다. 제주 로컬음식인 상웨빵 만들기체험을 주로 운영하며 다양한 상웨빵과 쉰다리를 판매한다. 상웨빵은 제주에서 경조사나, 제사상에 올리던 상웨떡을 응용하여 만든 빵으로, 상웨떡은 고려시대 몽골의 제주 지배 당시 누룩으로 반죽해 만들던 상화병에서 왔다는 설이 있다. 쉰다리는 누룩으로 만든 제주 전통 저알코올 음료이다. 지역 여성협동조합에서 운영하는 곳으로 여행자 사이에서 체험 프로그램이 인기이다.",064-767-4545,,,있음,0,,10:00 ~ 16:00 (12:00 ~13:00 브레이크타임 15:30 라스트오더),일요일과 법정공휴일,한라봉상웨빵,"쉰다리, 하례상웨빵, 쑥상웨빵, 한라봉쥬스 등",,,,,,,20190624154
